wy,basin_average,rolling_av,wy,Very Dry,Dry,Normal,Wet,Very Wet,WY_TYPE
1895-10-01,29.636666666666667,29.636666666666667,1896,False,False,True,False,False,Normal
1896-10-01,30.866666666666667,30.456666666666667,1897,False,False,True,False,False,Normal
1897-10-01,19.223333333333333,24.037619047619046,1898,False,False,True,False,False,Normal
1898-10-01,25.643333333333334,24.555238095238092,1899,False,False,True,False,False,Normal
1899-10-01,31.363333333333333,27.994761904761905,1900,False,False,True,False,False,Normal
1900-10-01,30.983333333333334,30.32904761904762,1901,False,False,True,False,False,Normal
1901-10-01,33.983333333333334,32.75190476190476,1902,False,False,False,True,False,Wet
1902-10-01,30.84,31.75857142857143,1903,False,False,True,False,False,Normal
1903-10-01,44.21,38.929047619047616,1904,False,False,False,True,False,Wet
1904-10-01,31.243333333333332,34.89047619047619,1905,False,False,False,True,False,Wet
1905-10-01,34.05666666666667,34.70333333333333,1906,False,False,False,True,False,Wet
1906-10-01,39.77333333333333,36.92142857142858,1907,False,False,False,True,False,Wet
1907-10-01,21.21333333333333,28.35095238095238,1908,False,False,True,False,False,Normal
1908-10-01,43.25333333333333,36.45904761904762,1909,False,False,False,True,False,Wet
1909-10-01,26.326666666666664,30.43238095238095,1910,False,False,True,False,False,Normal
1910-10-01,31.94333333333333,31.954285714285714,1911,False,False,True,False,False,Normal
1911-10-01,20.076666666666668,24.359999999999996,1912,False,False,True,False,False,Normal
1912-10-01,18.466666666666665,20.85190476190476,1913,False,True,False,False,False,Dry
1913-10-01,42.29,32.309999999999995,1914,False,False,True,False,False,Normal
1914-10-01,41.52,38.446666666666665,1915,False,False,False,True,False,Wet
1915-10-01,33.21333333333333,36.88333333333333,1916,False,False,False,True,False,Wet
1916-10-01,20.993333333333336,27.41714285714286,1917,False,False,True,False,False,Normal
1917-10-01,19.07,21.640000000000004,1918,False,True,False,False,False,Dry
1918-10-01,25.630000000000003,23.093333333333337,1919,False,False,True,False,False,Normal
1919-10-01,14.406666666666666,18.279523809523813,1920,True,False,False,False,False,Very Dry
1920-10-01,32.38666666666666,26.284285714285712,1921,False,False,True,False,False,Normal
1921-10-01,22.673333333333332,24.267619047619046,1922,False,False,True,False,False,Normal
1922-10-01,28.476666666666667,27.377142857142854,1923,False,False,True,False,False,Normal
1923-10-01,11.476666666666667,17.933333333333334,1924,True,False,False,False,False,Very Dry
1924-10-01,36.38666666666667,28.139523809523812,1925,False,False,True,False,False,Normal
1925-10-01,26.766666666666666,27.33095238095238,1926,False,False,True,False,False,Normal
1926-10-01,37.18666666666667,34.095238095238095,1927,False,False,False,True,False,Wet
1927-10-01,24.80333333333333,28.621904761904762,1928,False,False,True,False,False,Normal
1928-10-01,17.443333333333335,22.366666666666667,1929,False,True,False,False,False,Dry
1929-10-01,23.506666666666668,21.95952380952381,1930,False,True,False,False,False,Dry
1930-10-01,16.113333333333333,18.41571428571429,1931,True,False,False,False,False,Very Dry
1931-10-01,24.316666666666666,21.857142857142858,1932,False,True,False,False,False,Dry
1932-10-01,18.740000000000002,19.95809523809524,1933,False,True,False,False,False,Dry
1933-10-01,19.223333333333333,19.812857142857144,1934,False,True,False,False,False,Dry
1934-10-01,31.023333333333333,25.897142857142857,1935,False,False,True,False,False,Normal
1935-10-01,28.006666666666664,27.613809523809522,1936,False,False,True,False,False,Normal
1936-10-01,25.783333333333335,27.16714285714286,1937,False,False,True,False,False,Normal
1937-10-01,37.75,32.93904761904762,1938,False,False,False,True,False,Wet
1938-10-01,15.033333333333333,23.059523809523807,1939,False,False,True,False,False,Normal
1939-10-01,35.083333333333336,29.735714285714288,1940,False,False,True,False,False,Normal
1940-10-01,47.343333333333334,39.224761904761905,1941,False,False,False,True,False,Wet
1941-10-01,36.6,39.45285714285715,1942,False,False,False,True,False,Wet
1942-10-01,28.373333333333335,33.43380952380953,1943,False,False,False,True,False,Wet
1943-10-01,22.753333333333334,26.337142857142858,1944,False,False,True,False,False,Normal
1944-10-01,25.296666666666667,25.00952380952381,1945,False,False,True,False,False,Normal
1945-10-01,26.163333333333334,25.428571428571427,1946,False,False,True,False,False,Normal
1946-10-01,18.166666666666664,21.47,1947,False,True,False,False,False,Dry
1947-10-01,22.893333333333334,22.009999999999998,1948,False,True,False,False,False,Dry
1948-10-01,19.583333333333336,20.32666666666667,1949,False,True,False,False,False,Dry
1949-10-01,23.123333333333335,22.07904761904762,1950,False,True,False,False,False,Dry
1950-10-01,31.196666666666665,27.23095238095238,1951,False,False,True,False,False,Normal
1951-10-01,36.71333333333333,33.19571428571429,1952,False,False,False,True,False,Wet
1952-10-01,30.11,32.15190476190476,1953,False,False,True,False,False,Normal
1953-10-01,25.05,28.16190476190476,1954,False,False,True,False,False,Normal
1954-10-01,20.26,23.035714285714285,1955,False,False,True,False,False,Normal
1955-10-01,40.20666666666667,32.34238095238096,1956,False,False,True,False,False,Normal
1956-10-01,23.009999999999998,27.53047619047619,1957,False,False,True,False,False,Normal
1957-10-01,45.150000000000006,38.11809523809524,1958,False,False,False,True,False,Wet
1958-10-01,20.31,27.792857142857144,1959,False,False,True,False,False,Normal
1959-10-01,20.323333333333334,23.866190476190475,1960,False,False,True,False,False,Normal
1960-10-01,22.36,21.485238095238092,1961,False,True,False,False,False,Dry
1961-10-01,24.946666666666665,23.547142857142855,1962,False,False,True,False,False,Normal
1962-10-01,35.36333333333333,30.529523809523806,1963,False,False,True,False,False,Normal
1963-10-01,18.853333333333335,24.44095238095238,1964,False,False,True,False,False,Normal
1964-10-01,30.72333333333333,27.9947619047619,1965,False,False,True,False,False,Normal
1965-10-01,23.56,24.934285714285714,1966,False,False,True,False,False,Normal
1966-10-01,40.156666666666666,34.067142857142855,1967,False,False,False,True,False,Wet
1967-10-01,22.873333333333335,27.90952380952381,1968,False,False,True,False,False,Normal
1968-10-01,37.343333333333334,33.610952380952384,1969,False,False,False,True,False,Wet
1969-10-01,35.57666666666667,34.266666666666666,1970,False,False,False,True,False,Wet
1970-10-01,28.446666666666665,31.754761904761903,1971,False,False,True,False,False,Normal
1971-10-01,16.776666666666667,22.796666666666663,1972,False,False,True,False,False,Normal
1972-10-01,40.63,32.074285714285715,1973,False,False,True,False,False,Normal
1973-10-01,38.836666666666666,36.19761904761905,1974,False,False,False,True,False,Wet
1974-10-01,27.16,32.42047619047619,1975,False,False,False,True,False,Wet
1975-10-01,13.793333333333333,21.189999999999998,1976,False,True,False,False,False,Dry
1976-10-01,11.733333333333334,14.525714285714287,1977,True,False,False,False,False,Very Dry
1977-10-01,40.54666666666667,28.49238095238095,1978,False,False,True,False,False,Normal
1978-10-01,24.613333333333337,27.32571428571429,1979,False,False,True,False,False,Normal
1979-10-01,36.24666666666667,33.53714285714286,1980,False,False,False,True,False,Wet
1980-10-01,19.093333333333334,24.782857142857146,1981,False,False,True,False,False,Normal
1981-10-01,47.61333333333334,37.84095238095238,1982,False,False,False,True,False,Wet
1982-10-01,56.13333333333333,48.40761904761905,1983,False,False,False,False,True,Very Wet
1983-10-01,28.233333333333334,38.973333333333336,1984,False,False,False,True,False,Wet
1984-10-01,23.53333333333333,29.53333333333333,1985,False,False,True,False,False,Normal
1985-10-01,41.59,34.52285714285715,1986,False,False,False,True,False,Wet
1986-10-01,16.919999999999998,24.91333333333333,1987,False,False,True,False,False,Normal
1987-10-01,22.136666666666667,23.425238095238097,1988,False,False,True,False,False,Normal
1988-10-01,22.796666666666667,21.768571428571427,1989,False,True,False,False,False,Dry
1989-10-01,19.003333333333334,20.534761904761904,1990,False,True,False,False,False,Dry
1990-10-01,20.226666666666667,20.244285714285716,1991,False,True,False,False,False,Dry
1991-10-01,25.126666666666665,22.85190476190476,1992,False,False,True,False,False,Normal
1992-10-01,38.04333333333333,31.807619047619045,1993,False,False,True,False,False,Normal
1993-10-01,19.59,25.653333333333332,1994,False,False,True,False,False,Normal
1994-10-01,49.36,39.23761904761904,1995,False,False,False,True,False,Wet
1995-10-01,36.52333333333333,37.77190476190476,1996,False,False,False,True,False,Wet
1996-10-01,32.196666666666665,35.8847619047619,1997,False,False,False,True,False,Wet
1997-10-01,51.90333333333333,44.075714285714284,1998,False,False,False,False,True,Very Wet
1998-10-01,29.689999999999998,36.3947619047619,1999,False,False,False,True,False,Wet
1999-10-01,29.06666666666667,32.50714285714286,2000,False,False,False,True,False,Wet
2000-10-01,19.006666666666668,23.407142857142862,2001,False,False,True,False,False,Normal
2001-10-01,29.096666666666668,26.209523809523812,2002,False,False,True,False,False,Normal
2002-10-01,31.046666666666667,28.769523809523808,2003,False,False,True,False,False,Normal
2003-10-01,24.573333333333334,27.06904761904762,2004,False,False,True,False,False,Normal
2004-10-01,37.50666666666667,32.88857142857143,2005,False,False,False,True,False,Wet
2005-10-01,42.56666666666666,38.550476190476196,2006,False,False,False,True,False,Wet
2006-10-01,17.866666666666667,27.72952380952381,2007,False,False,True,False,False,Normal
2007-10-01,23.013333333333335,24.336190476190477,2008,False,False,True,False,False,Normal
2008-10-01,20.476666666666667,20.82857142857143,2009,False,True,False,False,False,Dry
2009-10-01,32.086666666666666,27.473333333333333,2010,False,False,True,False,False,Normal
2010-10-01,37.910000000000004,33.75571428571429,2011,False,False,False,True,False,Wet
2011-10-01,21.08,27.46095238095238,2012,False,False,True,False,False,Normal
2012-10-01,22.763333333333335,24.446190476190477,2013,False,False,True,False,False,Normal
2013-10-01,17.84,19.70952380952381,2014,False,True,False,False,False,Dry
2014-10-01,23.63,21.851904761904763,2015,False,True,False,False,False,Dry
2015-10-01,26.836666666666666,24.635238095238094,2016,False,False,True,False,False,Normal
2016-10-01,48.93333333333333,39.00523809523809,2017,False,False,False,True,False,Wet
2017-10-01,21.136666666666667,29.892857142857142,2018,False,False,True,False,False,Normal
2018-10-01,44.44,38.42380952380952,2019,False,False,False,True,False,Wet
2019-10-01,15.216666666666667,24.41190476190476,2020,False,False,True,False,False,Normal
2020-10-01,10.546666666666667,16.722857142857144,2021,True,False,False,False,False,Very Dry
2021-10-01,24.86,19.392857142857142,2022,False,True,False,False,False,Dry
2022-10-01,37.196666666666665,29.864761904761906,2023,False,False,True,False,False,Normal
